iter	Logloss
0	0.6774386888
1	0.6626900178
2	0.6449089994
3	0.629288205
4	0.6179710361
5	0.6025807411
6	0.5877600356
7	0.5744624054
8	0.5614116655
9	0.5507570408
10	0.5373837097
11	0.5236579706
12	0.5140896315
13	0.5016233626
14	0.4909460385
15	0.4814526993
16	0.4738685419
17	0.4666784711
18	0.4581339267
19	0.4475385039
20	0.4404353758
21	0.433173675
22	0.4242568808
23	0.4180624595
24	0.4123963535
25	0.4079166048
26	0.4028704748
27	0.3974473232
28	0.3920772809
29	0.3851692011
30	0.3804373859
31	0.3737947713
32	0.3691494136
33	0.3647339622
34	0.3597289176
35	0.3540756172
36	0.349194584
37	0.3445823049
38	0.3412698537
39	0.3373701817
40	0.3337127632
41	0.3315191909
42	0.3266982763
43	0.3239993038
44	0.3215615101
45	0.3184563195
46	0.3146478768
47	0.3105733757
48	0.3069606821
49	0.3041767619
50	0.3001656414
51	0.2986037453
52	0.2951556634
53	0.2924164142
54	0.2900171448
55	0.2875954456
56	0.285207526
57	0.2826225092
58	0.2801800516
59	0.278076118
60	0.2752481737
61	0.2731557785
62	0.2713573173
63	0.2692046149
64	0.2671161557
65	0.2650261869
66	0.2635381314
67	0.2613200804
68	0.259229815
69	0.2573659513
70	0.2549949889
71	0.2529781867
72	0.2519352242
73	0.2507315053
74	0.2492417784
75	0.2473440541
76	0.2456534827
77	0.2440359972
78	0.2423377155
79	0.2412492462
80	0.2399952218
81	0.2388082713
82	0.237675131
83	0.2360137832
84	0.2350179719
85	0.2333254865
86	0.2320641561
87	0.2307155326
88	0.2294323925
89	0.2278967274
90	0.2265353253
91	0.2256623393
92	0.2245273253
93	0.2236245361
94	0.2227166112
95	0.2216476063
96	0.2206937702
97	0.2198191666
98	0.2189312183
99	0.2176880719
100	0.2167995305
101	0.2162389048
102	0.2153586128
103	0.2143816459
104	0.2131866886
105	0.2124717497
106	0.2115025874
107	0.2108852535
108	0.2100581786
109	0.2096126678
110	0.2088628169
111	0.2083764767
112	0.2072765229
113	0.2064178251
114	0.2053945562
115	0.2044410571
116	0.2033990786
117	0.2026610492
118	0.2018128789
119	0.2013071957
120	0.2006566078
