iter	Passed	Remaining
0	1	1446
1	2	1346
2	4	1510
3	6	1591
4	8	1604
5	9	1594
6	11	1581
7	12	1569
8	14	1577
9	15	1566
10	17	1559
11	18	1537
12	19	1514
13	21	1492
14	22	1472
15	25	1570
16	26	1551
17	28	1532
18	29	1515
19	30	1501
20	31	1489
21	33	1478
22	34	1470
23	36	1467
24	37	1463
25	38	1459
26	40	1456
27	41	1448
28	43	1441
29	44	1433
30	45	1423
31	46	1416
32	48	1409
33	49	1403
34	50	1396
35	52	1408
36	53	1393
37	54	1378
38	55	1369
39	56	1359
40	57	1349
41	58	1338
42	59	1327
43	61	1328
44	62	1317
45	62	1305
46	63	1293
47	64	1281
48	65	1270
49	66	1258
50	66	1245
51	67	1234
52	68	1222
53	69	1211
54	69	1200
55	70	1190
56	71	1180
57	72	1170
58	72	1161
59	73	1152
60	74	1143
61	75	1136
62	75	1127
63	76	1120
64	77	1112
65	78	1104
66	78	1097
67	79	1089
68	80	1082
69	80	1075
70	81	1068
71	82	1061
72	83	1055
73	83	1049
74	84	1042
75	85	1036
76	86	1031
77	86	1025
78	87	1019
79	88	1014
80	88	1008
81	89	1003
82	90	998
83	91	993
84	91	988
85	92	983
86	93	979
87	94	974
88	94	969
89	95	965
90	96	961
91	96	956
92	97	952
93	98	948
94	99	944
95	99	940
96	100	936
97	101	932
98	102	936
99	104	936
100	105	935
101	106	933
102	107	932
103	107	930
104	108	928
105	109	927
106	111	926
107	112	925
108	113	924
109	114	922
110	114	920
111	115	919
112	116	917
113	117	915
114	118	914
115	119	912
116	120	910
117	121	909
118	122	907
119	123	906
120	124	905
121	125	904
122	126	903
123	127	901
124	128	900
125	129	898
126	130	897
127	131	896
128	132	895
129	133	894
130	134	893
131	135	892
132	136	890
133	137	887
134	138	885
135	138	883
136	139	880
137	140	878
138	141	875
139	142	873
140	143	871
141	143	869
142	144	867
143	145	865
144	146	863
145	147	860
146	147	858
147	148	856
148	149	854
149	150	852
150	151	850
151	152	848
152	153	847
153	153	845
154	154	843
155	155	841
156	156	839
157	157	837
158	157	835
159	158	833
160	159	832
161	160	830
162	161	829
163	162	827
164	163	826
165	164	824
166	164	822
167	165	821
168	166	819
169	167	817
170	168	816
171	169	814
172	170	812
173	170	811
174	171	809
175	172	808
176	173	806
177	174	805
178	175	803
179	176	801
180	176	800
181	177	798
182	178	797
183	179	795
184	180	794
185	181	792
186	182	791
187	182	790
188	183	788
189	184	787
190	185	785
191	186	784
192	187	783
193	188	781
194	189	780
195	189	779
196	190	777
197	191	776
198	192	774
199	193	773
200	194	772
201	195	770
202	195	769
203	196	768
204	197	766
205	198	765
206	199	764
207	200	763
208	201	762
209	202	761
210	203	759
211	204	758
212	205	757
213	205	756
214	206	754
215	207	753
216	208	752
217	209	751
218	210	749
219	211	748
220	212	747
221	212	746
222	214	745
223	215	744
224	215	743
225	216	742
226	217	741
227	218	740
228	219	738
229	220	737
230	221	736
231	222	735
232	223	734
233	223	732
234	224	731
235	225	730
236	227	733
237	228	732
238	229	731
239	230	730
240	231	729
